fullName,userName,serverIP,role,status
Database Monitoring And Operation,svcdbops,172.16.88.8,1,Account svcdbops role modified.
Database Monitoring And Operation,svcdbops,172.16.88.9,1,Account svcdbops role modified.
Database Monitoring And Operation,svcdbops,172.16.98.13,1,Account svcdbops role modified.
Database Monitoring And Operation,svcdbops,172.16.122.21,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.122.22,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.132.12,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.121.20,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.123.17,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.123.18,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.133.17,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.32.1.130,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.9.9,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.30.1.19,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.7.35,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.7.133,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.100.2,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.100.3,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.110.4,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.7.36,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.2.122,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.2.71,1,Account svcdbops created ^+^
Database Monitoring And Operation,svcdbops,172.16.132.15,1,Account svcdbops created ^+^
