fullName,userName,serverIP,role,status
PAM Account,pam360id,192.168.167.74,0,User admin unavailable
PAM Account,pam360id,172.16.123.28,0,User already exist
PAM Account,pam360id,172.16.123.17,0,User already exist
PAM Account,pam360id,172.16.123.18,0,User already exist
PAM Account,pam360id,172.16.2.123,0,User admin unavailable
PAM Account,pam360id,172.16.2.71,0,User already exist
PAM Account,pam360id,172.16.186.10,0,Account created
PAM Account,pam360id,192.168.167.220,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.121.20,0,Account created
PAM Account,pam360id,172.16.123.13,0,User admin unavailable
PAM Account,pam360id,172.16.9.8,0,User admin unavailable
PAM Account,pam360id,172.16.123.21 ,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.30,0,Account created
PAM Account,pam360id,172.16.82.52,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.50,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.51,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.150,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.17.2,0,Port 3389 is open (Windows)
PAM Account,pam360id,192.168.167.15,0,Account created
PAM Account,pam360id,172.16.7.252,0,User admin unavailable
PAM Account,pam360id,172.16.9.68,0,User admin unavailable
PAM Account,pam360id,172.16.7.231,0,User already exist
PAM Account,pam360id,172.16.105.10,0,User already exist
PAM Account,pam360id,172.16.7.241,0,User admin unavailable
PAM Account,pam360id,172.16.121.11,0,Account created
PAM Account,pam360id,172.16.122.21,0,Account created
PAM Account,pam360id,172.16.89.3,0,Account created
PAM Account,pam360id,172.16.123.20,0,Account created
PAM Account,pam360id,172.16.7.247,0,Account created
PAM Account,pam360id,172.16.195.12,0,Account created
PAM Account,pam360id,192.168.167.100,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.151,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.17.3,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.7.251,0,Account created
PAM Account,pam360id,172.16.9.69,0,User already exist
PAM Account,pam360id,172.16.122.22,0,Account created
PAM Account,pam360id,172.16.7.25,0,Account created
PAM Account,pam360id,172.16.7.35,0,Account created
PAM Account,pam360id,172.16.82.155,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.28,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.27,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.20,0,Port 3389 is open (Windows)
PAM Account,pam360id,172.16.82.18,0,Server unreachable
